;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
112;linkpred;twitter;deepwalk;crosswalk;var_accuracy;0.15932139826211023;50;
113;linkpred;twitter;deepwalk;crosswalk;var_disparity;12.461484563999406;50;
114;linkpred;twitter;deepwalk;fairwalk;mean_accuracy;94.65117941386706;50;
115;linkpred;twitter;deepwalk;fairwalk;mean_disparity;5.241355561456935;50;
116;linkpred;twitter;deepwalk;fairwalk;std_accuracy;0.35254822249940093;50;
117;linkpred;twitter;deepwalk;fairwalk;std_disparity;5.02196028111049;50;
118;linkpred;twitter;deepwalk;fairwalk;var_accuracy;0.12429024918748709;50;
119;linkpred;twitter;deepwalk;fairwalk;var_disparity;25.220085065051354;50;
120;linkpred;twitter;deepwalk;skip;mean_accuracy;92.6576125804146;50;
121;linkpred;twitter;deepwalk;skip;mean_disparity;3.468769222690871;50;
122;linkpred;twitter;deepwalk;skip;std_accuracy;0.4704728102261969;50;
123;linkpred;twitter;deepwalk;skip;std_disparity;3.4128382081591555;50;
124;linkpred;twitter;deepwalk;skip;var_accuracy;0.2213446651621351;50;
125;linkpred;twitter;deepwalk;skip;var_disparity;11.647464635070994;50;
126;nodeclass;rice;deepwalk;crosswalk;mean_accuracy;83.34545454545454;50;
127;nodeclass;rice;deepwalk;crosswalk;mean_disparity;71.60144124080689;50;
128;nodeclass;rice;deepwalk;crosswalk;std_accuracy;2.7193217433399917;50;
129;nodeclass;rice;deepwalk;crosswalk;std_disparity;54.70977741712726;50;
130;nodeclass;rice;deepwalk;crosswalk;var_accuracy;7.39471074380165;50;
131;nodeclass;rice;deepwalk;crosswalk;var_disparity;2993.1597450316085;50;
132;nodeclass;rice;deepwalk;fairwalk;mean_accuracy;83.11818181818182;50;
133;nodeclass;rice;deepwalk;fairwalk;mean_disparity;72.0311858576387;50;
134;nodeclass;rice;deepwalk;fairwalk;std_accuracy;2.3758600008842383;50;
135;nodeclass;rice;deepwalk;fairwalk;std_disparity;44.718091978736375;50;
136;nodeclass;rice;deepwalk;fairwalk;var_accuracy;5.644710743801653;50;
137;nodeclass;rice;deepwalk;fairwalk;var_disparity;1999.7077502187267;50;
138;nodeclass;rice;deepwalk;skip;mean_accuracy;83.69090909090909;50;
139;nodeclass;rice;deepwalk;skip;mean_disparity;168.8195992372571;50;
140;nodeclass;rice;deepwalk;skip;std_accuracy;3.0541125234321544;50;
141;nodeclass;rice;deepwalk;skip;std_disparity;87.15319183563332;50;
142;nodeclass;rice;deepwalk;skip;var_accuracy;9.327603305785123;50;
143;nodeclass;rice;deepwalk;skip;var_disparity;7595.6788471387035;50;
